Plate	City	Town	Village	Area	Population
1	ADANA	15	508	14030	2258718
2	ADIYAMAN	9	420	7614	632459
3	AFYONKARAHİSAR	18	395	14230	736912
4	AĞRI	8	566	11376	535435
5	AMASYA	7	352	5520	335494
6	ANKARA	25	711	25706	5663322
7	ANTALYA	19	545	20723	2548308
8	ARTVİN	9	314	7436	169501
9	AYDIN	18	489	8007	1119084
10	BALIKESİR	21	881	14292	1240285
11	BİLECİK	8	243	4307	218717
12	BİNGÖL	8	315	8125	281768
13	BİTLİS	7	344	6707	350994
14	BOLU	9	502	7410	314802
15	BURDUR	11	182	6887	267092
16	BURSA	17	649	11043	3101833
17	ÇANAKKALE	12	568	9737	541548
18	ÇANKIRI	12	369	7388	192428
19	ÇORUM	14	738	12820	530126
20	DENİZLİ	20	369	11868	1040915
21	DİYARBAKIR	17	898	15355	1783431
22	EDİRNE	9	248	6279	407763
23	ELAZIĞ	11	546	9153	587960
24	ERZİNCAN	9	531	11909	234431
25	ERZURUM	20	1042	25066	758279
26	ESKİŞEHİR	14	431	13652	888828
27	GAZİANTEP	9	423	6000	2101157
28	GİRESUN	16	548	6934	448721
29	GÜMÜŞHANE	6	322	6575	141702
30	HAKKARİ	4	125	7121	280514
31	HATAY	15	360	5403	1659320
32	ISPARTA	13	176	8993	440304
33	MERSİN	13	528	15853	1868757
34	İSTANBUL	40	166	5196	15462452
35	İZMİR	30	609	11973	4394694
36	KARS	8	380	9587	284923
37	KASTAMONU	20	1069	13108	376377
38	KAYSERİ	16	417	16917	1421455
39	KIRKLARELİ	8	177	6550	361737
40	KIRŞEHİR	7	235	6570	243042
41	KOCAELİ	12	229	3626	1997258
42	KONYA	31	587	38257	2250020
43	KÜTAHYA	13	549	11889	576688
44	MALATYA	14	495	12313	806156
45	MANİSA	18	706	13810	1450616
46	KAHRAMANMARAŞ	12	476	14327	1168163
47	MARDİN	11	581	8891	854716
48	MUĞLA	14	397	13338	1000773
49	MUŞ	6	360	8196	411117
50	NEVŞEHİR	8	135	5467	304962
51	NİĞDE	6	112	7312	362071
52	ORDU	20	477	6001	761400
53	RİZE	12	356	3920	344359
54	SAKARYA	16	414	4817	1042649
55	SAMSUN	17	995	9579	1356079
56	SİİRT	7	279	5406	331070
57	SİNOP	9	469	5862	216460
58	SİVAS	17	1235	28488	635889
59	TEKİRDAĞ	12	246	6218	1081065
60	TOKAT	12	603	9959	597861
61	TRABZON	19	481	6685	811901
62	TUNCELİ	8	373	7774	83443
63	ŞANLIURFA	14	1087	18584	2115256
64	UŞAK	6	245	5341	369433
65	VAN	14	556	19069	1149342
66	YOZGAT	14	573	14123	419095
67	ZONGULDAK	8	374	4420	591204
68	AKSARAY	8	152	7626	423011
69	BAYBURT	3	168	3652	78550
70	KARAMAN	6	160	9163	254919
71	KIRIKKALE	9	170	4365	278703
72	BATMAN	6	272	4694	620278
73	ŞIRNAK	7	219	7172	537762
74	BARTIN	4	265	2120	198979
75	ARDAHAN	6	237	5661	96161
76	IĞDIR	4	156	3593	201314
77	YALOVA	6	44	847	276050
78	KARABÜK	6	275	2420	243614
79	KİLİS	4	136	1642	142792
80	OSMANİYE	7	159	3767	548556
81	DÜZCE	8	301	3641	395679
